company_name,website,domain,industry,location
Acme Corporation,https://www.acme.com,acme.com,Manufacturing,New York
TechSolutions Inc.,https://techsolutions.io,techsolutions.io,Technology,San Francisco
Global Logistics Partners,https://globallogistics.com,globallogistics.com,Logistics,Chicago
Green Energy Innovations,https://greenenergy.org,greenenergy.org,Energy,Austin
HealthPlus Systems,https://healthplus.com,healthplus.com,Healthcare,Boston
Modern Finance Group,https://modernfinance.co,modernfinance.co,Finance,London
DataDrive Analytics,https://datadrive.ai,datadrive.ai,Data Science,Seattle
Creative Design Studios,https://creativedesign.studio,creativedesign.studio,Design,Portland
SmartHome Technologies,https://smarthome.tech,smarthome.tech,IoT,Denver
Cloud Solutions Network,https://cloudsolutions.net,cloudsolutions.net,Cloud Computing,Atlanta 